game_id,home_team,away_team,home_score,away_score,true_percentage
2018_01_ATL_PHI,PHI,ATL,18,12,67
2018_01_BUF_BAL,BAL,BUF,47,3,6
2018_01_CHI_GB,GB,CHI,24,23,96
2018_01_CIN_IND,IND,CIN,23,34,68
2018_01_DAL_CAR,CAR,DAL,16,8,50
2018_01_HOU_NE,NE,HOU,27,20,74
2018_01_JAX_NYG,NYG,JAX,15,20,75
2018_01_KC_LAC,LAC,KC,28,38,74
2018_01_LA_OAK,OAK,LA,13,33,39
2018_01_NYJ_DET,DET,NYJ,17,48,35
2018_01_PIT_CLE,CLE,PIT,21,21,100
2018_01_SEA_DEN,DEN,SEA,27,24,89
2018_01_SF_MIN,MIN,SF,24,16,67
2018_01_TB_NO,NO,TB,40,48,83
2018_01_TEN_MIA,MIA,TEN,27,20,74
2018_01_WAS_ARI,ARI,WAS,6,24,25
2018_02_ARI_LA,LA,ARI,34,0,0
2018_02_BAL_CIN,CIN,BAL,34,23,68
2018_02_CAR_ATL,ATL,CAR,31,24,77
2018_02_CLE_NO,NO,CLE,21,18,86
2018_02_DET_SF,SF,DET,30,27,90
2018_02_HOU_TEN,TEN,HOU,20,17,85
2018_02_IND_WAS,WAS,IND,9,21,43
2018_02_KC_PIT,PIT,KC,37,42,88
2018_02_LAC_BUF,BUF,LAC,20,31,65
2018_02_MIA_NYJ,NYJ,MIA,12,20,60
2018_02_MIN_GB,GB,MIN,29,29,100
2018_02_NE_JAX,JAX,NE,31,20,65
2018_02_NYG_DAL,DAL,NYG,20,13,65
2018_02_OAK_DEN,DEN,OAK,20,19,95
2018_02_PHI_TB,TB,PHI,27,21,78
2018_02_SEA_CHI,CHI,SEA,24,17,71
2018_03_BUF_MIN,MIN,BUF,6,27,22
2018_03_CHI_ARI,ARI,CHI,14,16,88
2018_03_CIN_CAR,CAR,CIN,31,21,68
2018_03_DAL_SEA,SEA,DAL,24,13,54
2018_03_DEN_BAL,BAL,DEN,27,14,52
2018_03_GB_WAS,WAS,GB,31,17,55
2018_03_IND_PHI,PHI,IND,20,16,80
2018_03_LAC_LA,LA,LAC,35,23,66
2018_03_NE_DET,DET,NE,26,10,38
