game_id,home_team,away_team,home_score,away_score,true_percentage,bin,rand,chartTyoe
2023_12_WAS_DAL,A,B,45,10,22,low,0.000416536,Vbar
2021_09_NE_CAR,A,B,6,24,25,low,0.003697348,Vbar
2022_14_TB_SF,A,B,35,7,20,low,0.005735958,Hbar
2020_06_GB_TB,A,B,38,10,26,low,0.010822061,Hbar
2023_03_TEN_CLE,A,B,27,3,11,low,0.018378846,Pie
2021_07_CAR_NYG,A,B,25,3,12,low,0.020984692,Pie
2018_01_SF_MIN,A,B,24,16,67,medium,0.001576596,Vbar
2023_18_CLE_CIN,A,B,31,14,45,medium,0.002983175,Vbar
2023_16_BAL_SF,A,B,19,33,58,medium,0.003580825,Vbar
2021_02_LV_PIT,A,B,17,26,65,medium,0.004675933,Hbar
2018_03_NE_DET,A,B,26,10,38,medium,0.00717197,Hbar
2023_14_PHI_DAL,A,B,33,13,39,medium,0.01071795,Hbar
2023_15_DAL_BUF,A,B,31,10,32,medium,0.012388643,Pie
2020_06_DET_JAX,A,B,16,34,47,medium,0.012504785,Pie
2022_18_NYJ_MIA,A,B,11,6,55,medium,0.018195396,Pie
2021_14_PIT_MIN,A,B,36,28,78,high,0.004169868,Vbar
2018_04_PHI_TEN,A,B,26,23,88,high,0.005662266,Vbar
2018_15_HOU_NYJ,A,B,22,29,76,high,0.005887911,Hbar
2022_11_CHI_ATL,A,B,27,24,89,high,0.006225189,Hbar
2023_06_DAL_LAC,A,B,17,20,85,high,0.006317279,Pie
2018_02_DET_SF,A,B,30,27,90,high,0.006921714,Pie
